steam_id,comp_main,comp_plus,comp_100
47810,176930,255096,374112
692850,50487,74412,128214
787480,217413,247172,259956
668580,58441,89729,131109
130,11013,12232,13161
1237320,59175,78433,97029
311690,81164,223917,578650
1569580,65077,127909,359394
322500,8591,18624,71626
206420,53803,94039,155604
2515020,137556,211909,296270
526870,380893,524420,815209
282070,40439,72486,154112
501300,7630,9135,10375
250320,31052,33472,39471
462780,61418,73395,100660
1817230,40345,50719,215706
2208920,220157,356347,544192
50300,22032,27049,58652
960090,131753,412349,2128365
208580,109679,147291,193613
55150,27226,33387,81643
252410,18139,24057,30124
50100,142676,446376,1547544
440,1025770,2117531,9419267
200510,95920,136448,250395
2677660,57546,92160,141158
261570,29625,37361,42387
204450,18239,25271,51032
202750,13088,16829,30825
1675830,39081,46670,49568
238010,83901,112039,168093
1180660,34993,40308,49475
1182900,61289,70452,98517
739630,72312,149454,459855
282140,32667,39276,39900
360430,90267,147020,251085
3681010,90222,189492,213104
214510,36273,61172,121290
50130,43658,58671,114647
255710,99270,245478,659938
503560,22845,37298,78012
311340,6703,23935,74994
2114740,58328,73770,92476
17470,39605,46514,72851
1659040,29399,78034,226003
474960,36299,47326,66675
22330,111407,298896,627221
2807960,21648,40263,85460
3017860,51112,69335,87893
638230,7213,9012,20672
489630,39737,88189,187015
108600,216764,566570,1559216
1259420,130872,182192,236133
21090,29408,36320,43947
1966720,32605,67033,126636
1286680,58063,104133,188115
1458140,77304,115601,179702
637650,99152,202688,417029
47780,32701,41337,58619
1139900,25527,33153,50632
976310,22717,65572,225301
2623190,61462,187201,335363
493340,99022,194242,295719
201870,44620,74211,125055
3159330,126973,233422,352566
311560,38784,80431,144055
1238840,24074,36175,94922
3405340,51815,115352,197373
996580,61795,94978,122258
2069250,39680,54977,91823
1222680,50603,90863,185461
235460,25896,41840,149820
3590,29457,64521,153744
407530,185400,0,198900
274170,31607,46564,120040
313690,36741,69871,130607
1621690,133782,185054,483674
377840,137290,189078,297431
359870,181704,286073,582351
1151340,130622,412435,1109914
6910,82539,103481,140008
1382330,126662,164826,255054
1578650,24668,37460,48069
243470,70379,119675,225436
257510,56329,76285,105735
221910,5241,10448,32553
894020,33043,42872,57253
447040,70310,114433,168039
1422450,74280,192970,0
1252330,58954,88128,129845
285160,31880,60218,133914
330830,38117,39960,41736
2835570,1634,6182,33865
934700,58286,95923,140243
230230,238647,306995,390976
9480,71817,104784,182891
242700,18092,41257,90806
3035570,57838,81976,110537
532210,57841,65134,72113
249130,44306,86724,143428
381210,283111,1282762,2748333
1493640,81972,164051,221886
1942280,19537,82686,228535
2186680,242930,373288,558531
237930,21569,30241,56873
413410,90787,112073,163535
388410,71417,106845,189062
200710,74754,106967,282817
108800,32537,43227,51910
236870,38640,85543,334345
240,241479,408910,1480395
231430,55745,92959,230440
204100,36056,46335,117427
12200,52309,69072,98836
2842040,66326,127985,245131
2417610,43732,56618,90083
2005010,35389,44748,66910
1250,65227,231732,1064860
1282100,65345,104695,291999
485510,150817,264481,515747
502500,43954,65537,238761
460950,17033,22569,51993
1237950,22575,36148,248641
1142710,117745,400011,2556950
329050,39396,60606,256329
124923,204733,446462,678199
1173770,54935,62740,66053
1887840,50688,71413,79766
1105500,74010,142307,331547
211820,90174,210062,593389
1954200,36962,51871,74467
288470,47974,74112,115842
1895880,39618,52461,64870
219740,102621,251551,552921
302510,22980,30043,72499
863550,36610,99657,455837
206440,14837,16258,16571
238460,36602,61891,154113
617290,47724,74951,210729
2280,17910,26495,35253
21000,35894,58582,105479
253230,33953,54144,68574
306130,172578,743546,1897299
6860,42603,58125,73601
3280350,127067,228443,416704
631510,83646,112516,318929
985890,11443,22678,100118
414700,26072,31905,49824
2478970,142773,245287,333490
728880,25498,42558,90716
22320,159005,375835,1064677
304390,25340,39417,65706
2420660,14641,16370,21731
2427410,54341,87409,149506
1088710,60454,113081,367295
247080,50161,94060,1416072
482400,61863,90324,119275
599140,165350,203052,263030
220200,406920,840582,2165993
232090,58638,324024,426107
63380,25761,43835,104355
1085660,44079,160642,695944
2420110,103826,225448,323223
1608230,16555,18599,22525
249050,28607,90091,397587
289130,56253,120823,523239
1544020,36368,43310,56062
2331020,159161,242910,552486
220440,32986,43925,145725
2751000,59996,88160,112100
210970,61030,87386,134711
477160,22770,44241,91626
1977170,16244,20906,28393
359550,11952,91155,535412
275390,25267,35926,56922
1475810,40826,82189,151084
2131640,47335,55101,101931
251570,192417,409044,1032036
1190460,145729,215987,406057
307780,20443,60159,246398
1173820,118906,146115,197193
1715130,33399,41179,42819
747350,25037,27013,30080
368500,68349,122121,200988
678960,95163,127218,226449
431240,22490,40281,95370
286160,35257,568184,4408595
